account,property_name,amount
Net Income,509 Lansdowne Pl,56378.53000000003
Sale of property,510 Bennett Dr.,75416.38
Total for Income,510 Bennett Dr.,75416.38
Gross Profit,510 Bennett Dr.,75416.38
Cleaning services,510 Bennett Dr.,180
Closing Costs,510 Bennett Dr.,662.58
Dumpsters,510 Bennett Dr.,1541.29
Labor,510 Bennett Dr.,24591
Materials,510 Bennett Dr.,16654.15
Third Party Vendors,510 Bennett Dr.,7151.1
Total for Expenses,510 Bennett Dr.,50780.12
Net Operating Income,510 Bennett Dr.,24636.260000000002
Net Income,510 Bennett Dr.,24636.260000000002
Sale of property,5100 Rick Dr.,146138.34
Total for Income,5100 Rick Dr.,146138.34
Gross Profit,5100 Rick Dr.,146138.34
Closing Costs,5100 Rick Dr.,1536.02
Property Purchase,5100 Rick Dr.,110000
Total for Expenses,5100 Rick Dr.,111536.02
Net Operating Income,5100 Rick Dr.,34602.31999999999
Net Income,5100 Rick Dr.,34602.31999999999
Materials,512 Academia,367.58
Total for Expenses,512 Academia,367.58
Net Operating Income,512 Academia,-367.58
Net Income,512 Academia,-367.58
Sale of property,5130 Briarwood Cir,86847.39
Total for Income,5130 Briarwood Cir,86847.39
Gross Profit,5130 Briarwood Cir,86847.39
Admin Services,5130 Briarwood Cir,250
Dumpsters,5130 Briarwood Cir,1359.6
Interest Payment,5130 Briarwood Cir,888.89
Labor,5130 Briarwood Cir,32252
Materials,5130 Briarwood Cir,8881.19
Photography,5130 Briarwood Cir,100
Property Insurance,5130 Briarwood Cir,1935
Property Purchase,5130 Briarwood Cir,110271.9
Third Party Vendors,5130 Briarwood Cir,6345.4
Total for Expenses,5130 Briarwood Cir,162283.97999999998
Net Operating Income,5130 Briarwood Cir,-75436.58999999998
Mortgage,5130 Briarwood Cir,124788.5
Total for Other Income,5130 Briarwood Cir,124788.5
Net Other Income,5130 Briarwood Cir,124788.5
Net Income,5130 Briarwood Cir,49351.91000000002
Sale of property,5136 Goldmar Dr,116915.22
Total for Income,5136 Goldmar Dr,116915.22
Gross Profit,5136 Goldmar Dr,116915.22
Dumpsters,5136 Goldmar Dr,1012.75
Earnest money,5136 Goldmar Dr,5000
Interest Payment,5136 Goldmar Dr,3605.77
Labor,5136 Goldmar Dr,25710
Materials,5136 Goldmar Dr,25839.72
Property Purchase,5136 Goldmar Dr,146036.98
Third Party Vendors,5136 Goldmar Dr,16925.5
Utilities,5136 Goldmar Dr,606.56
Total for Expenses,5136 Goldmar Dr,224737.28000000003
Net Operating Income,5136 Goldmar Dr,-107822.06000000003
Mortgage,5136 Goldmar Dr,120416
Total for Other Income,5136 Goldmar Dr,120416
Net Other Income,5136 Goldmar Dr,120416
Net Income,5136 Goldmar Dr,12593.939999999973
Interest Payment,515 Karey Dr,507.19
Labor,515 Karey Dr,9800
Materials,515 Karey Dr,22586.27
Permits,515 Karey Dr,2294
Property Insurance,515 Karey Dr,833.18
Property Purchase,515 Karey Dr,21170.88
Third Party Vendors,515 Karey Dr,8700
Utilities,515 Karey Dr,727.65
Total for Expenses,515 Karey Dr,66619.17
Net Operating Income,515 Karey Dr,-66619.17
Net Income,515 Karey Dr,-66619.17
Sale of property,5150 Hickory Dr NE,192014.12
Total for Income,5150 Hickory Dr NE,192014.12
Gross Profit,5150 Hickory Dr NE,192014.12
Cleaning services,5150 Hickory Dr NE,175
Labor,5150 Hickory Dr NE,14763.5
Materials,5150 Hickory Dr NE,12484.07
Property Purchase,5150 Hickory Dr NE,111085.76
Reinspection Fee,5150 Hickory Dr NE,150
Third Party Vendors,5150 Hickory Dr NE,15972.25
Utilities,5150 Hickory Dr NE,798.24
Total for Expenses,5150 Hickory Dr NE,155428.81999999998
Net Operating Income,5150 Hickory Dr NE,36585.30000000002
Net Income,5150 Hickory Dr NE,36585.30000000002
Sale of property,517 10th Ave.,156374.36
Total for Income,517 10th Ave.,156374.36
Gross Profit,517 10th Ave.,156374.36
Admin Services,517 10th Ave.,300
Cleaning services,517 10th Ave.,150
Dumpsters,517 10th Ave.,1009.61
Labor,517 10th Ave.,33313.7
Materials,517 10th Ave.,16025.06
Photography,517 10th Ave.,100
Property Purchase,517 10th Ave.,86475.67
Third Party Vendors,517 10th Ave.,10288.48
Total for Expenses,517 10th Ave.,147662.52
Net Operating Income,517 10th Ave.,8711.839999999997
Net Income,517 10th Ave.,8711.839999999997
Property Purchase,517 Kings Crest,365127.17
Third Party Vendors,517 Kings Crest,10825
Total for Expenses,517 Kings Crest,375952.17
Net Operating Income,517 Kings Crest,-375952.17
Mortgage,517 Kings Crest,292000
Total for Other Income,517 Kings Crest,292000
Net Other Income,517 Kings Crest,292000
Net Income,517 Kings Crest,-83952.16999999998
Sale of property,5201 Mike Dr.,141127.93
Total for Income,5201 Mike Dr.,141127.93
Gross Profit,5201 Mike Dr.,141127.93
Property Purchase,5201 Mike Dr.,136130.12
Total for Expenses,5201 Mike Dr.,136130.12
Net Operating Income,5201 Mike Dr.,4997.809999999998
Net Income,5201 Mike Dr.,4997.809999999998
Sale of property,521 Mountain Dr,130710.17
Total for Income,521 Mountain Dr,130710.17
Gross Profit,521 Mountain Dr,130710.17
Admin Services,521 Mountain Dr,300
Dumpsters,521 Mountain Dr,3921.94
Interest Payment,521 Mountain Dr,4166.68
Labor,521 Mountain Dr,41130.62
Materials,521 Mountain Dr,32857.23
Permits,521 Mountain Dr,1237.5
Third Party Vendors,521 Mountain Dr,47108.01
Total for Expenses,521 Mountain Dr,130721.98000000001
Net Operating Income,521 Mountain Dr,-11.810000000012224
Net Income,521 Mountain Dr,-11.810000000012224
Sale of property,5230 willow Ridge Dr,77499.98
Total for Income,5230 willow Ridge Dr,77499.98
Gross Profit,5230 willow Ridge Dr,77499.98
Dumpsters,5230 willow Ridge Dr,2491.63
Interest Payment,5230 willow Ridge Dr,800
Labor,5230 willow Ridge Dr,18420
Materials,5230 willow Ridge Dr,11450.06
Permits,5230 willow Ridge Dr,136.5
Photography,5230 willow Ridge Dr,100
Property Purchase,5230 willow Ridge Dr,115375.79
Third Party Vendors,5230 willow Ridge Dr,11278.1
Total for Expenses,5230 willow Ridge Dr,160052.08
Net Operating Income,5230 willow Ridge Dr,-82552.09999999999
Mortgage,5230 willow Ridge Dr,120000
Total for Other Income,5230 willow Ridge Dr,120000
Net Other Income,5230 willow Ridge Dr,120000
Net Income,5230 willow Ridge Dr,37447.90000000001
Sale of property,5239 Old Springville Rd,374232.85
Total for Income,5239 Old Springville Rd,374232.85
Gross Profit,5239 Old Springville Rd,374232.85
Earnest money,5239 Old Springville Rd,7500
Interest Payment,5239 Old Springville Rd,42150.6
Labor,5239 Old Springville Rd,7525
Materials,5239 Old Springville Rd,6589.26
Total for Expenses,5239 Old Springville Rd,63764.86
Net Operating Income,5239 Old Springville Rd,310467.99
Net Income,5239 Old Springville Rd,310467.99
Dumpsters,5245 Old Springville Rd,815.06
Materials,5245 Old Springville Rd,297.03
Total for Expenses,5245 Old Springville Rd,1112.09
Net Operating Income,5245 Old Springville Rd,-1112.09
Net Income,5245 Old Springville Rd,-1112.09
Sale of property,5278 Willow Ridge Ln,182671.06
Total for Income,5278 Willow Ridge Ln,182671.06
Gross Profit,5278 Willow Ridge Ln,182671.06
Dumpsters,5278 Willow Ridge Ln,2526.7
Labor,5278 Willow Ridge Ln,29236.5
Materials,5278 Willow Ridge Ln,20735.43
Property Purchase,5278 Willow Ridge Ln,120000
Third Party Vendors,5278 Willow Ridge Ln,4900.6
Utilities,5278 Willow Ridge Ln,1740.49
Total for Expenses,5278 Willow Ridge Ln,179139.72
Net Operating Income,5278 Willow Ridge Ln,3531.3399999999965
Mortgage,5278 Willow Ridge Ln,16327.37
Total for Other Income,5278 Willow Ridge Ln,16327.37
Net Other Income,5278 Willow Ridge Ln,16327.37
Net Income,5278 Willow Ridge Ln,19858.71
Sale of property,532 Hickory St,115723.35
Total for Income,532 Hickory St,115723.35
Gross Profit,532 Hickory St,115723.35
Cleaning services,532 Hickory St,200
Dumpsters,532 Hickory St,3297.56
Interest Payment,532 Hickory St,5669.64
Labor,532 Hickory St,29972.26
Materials,532 Hickory St,32381.06
Property Purchase,532 Hickory St,1531.89
Third Party Vendors,532 Hickory St,22703.9
Utilities,532 Hickory St,1073.67
Total for Expenses,532 Hickory St,96829.98
Net Operating Income,532 Hickory St,18893.37000000001
Net Income,532 Hickory St,18893.37000000001
Dumpsters,533 River Crest Way,630
Interest Payment,533 River Crest Way,4594.88
Labor,533 River Crest Way,10860
Materials,533 River Crest Way,10236.31
Property Insurance,533 River Crest Way,1224.41
Property Purchase,533 River Crest Way,61184.14
Third Party Vendors,533 River Crest Way,13524
Utilities,533 River Crest Way,937.12
Total for Expenses,533 River Crest Way,103190.86
Net Operating Income,533 River Crest Way,-103190.86
Net Income,533 River Crest Way,-103190.86
Sale of property,533 Rollingwood Rd,171715.15
Total for Income,533 Rollingwood Rd,171715.15
Gross Profit,533 Rollingwood Rd,171715.15
Dumpsters,533 Rollingwood Rd,4593.6
Labor,533 Rollingwood Rd,34240
Materials,533 Rollingwood Rd,27655.64
Property Purchase,533 Rollingwood Rd,45896.09
Third Party Vendors,533 Rollingwood Rd,16142
Total for Expenses,533 Rollingwood Rd,128527.32999999999
Net Operating Income,533 Rollingwood Rd,43187.82000000001
Net Income,533 Rollingwood Rd,43187.82000000001
Dumpsters,5337 Pine Needle Dr,594
Earnest money,5337 Pine Needle Dr,3000
Interest Payment,5337 Pine Needle Dr,2376.66
Labor,5337 Pine Needle Dr,11500
Materials,5337 Pine Needle Dr,10018.49
Property Insurance,5337 Pine Needle Dr,2029.64
Property Purchase,5337 Pine Needle Dr,90104.64
Third Party Vendors,5337 Pine Needle Dr,1250
Utilities,5337 Pine Needle Dr,915.15
Total for Expenses,5337 Pine Needle Dr,121788.57999999999
Net Operating Income,5337 Pine Needle Dr,-121788.57999999999
Net Income,5337 Pine Needle Dr,-121788.57999999999
Cleaning services,5364 Balboa Ave,420
Dumpsters,5364 Balboa Ave,1470
Interest Payment,5364 Balboa Ave,3600
Labor,5364 Balboa Ave,21500
Materials,5364 Balboa Ave,20673.09
Property Insurance,5364 Balboa Ave,582.71
Property Purchase,5364 Balboa Ave,4236.81
Third Party Vendors,5364 Balboa Ave,9040
Utilities,5364 Balboa Ave,491.91
Total for Expenses,5364 Balboa Ave,62014.52
Net Operating Income,5364 Balboa Ave,-62014.52
Net Income,5364 Balboa Ave,-62014.52
Labor,537 Fox Run,5950
Materials,537 Fox Run,4092.27
Third Party Vendors,537 Fox Run,4337.4
Total for Expenses,537 Fox Run,14379.67
Net Operating Income,537 Fox Run,-14379.67
Net Income,537 Fox Run,-14379.67
Sale of property,5381 Park Side Cir,395430.46
Total for Income,5381 Park Side Cir,395430.46
Gross Profit,5381 Park Side Cir,395430.46
Cleaning services,5381 Park Side Cir,800
Interest Payment,5381 Park Side Cir,9053.33
Labor,5381 Park Side Cir,12791.54
Materials,5381 Park Side Cir,10316.09
Property Purchase,5381 Park Side Cir,25868.68
Third Party Vendors,5381 Park Side Cir,16350.5
Utilities,5381 Park Side Cir,734.63
Total for Expenses,5381 Park Side Cir,75914.77000000002
Net Operating Income,5381 Park Side Cir,319515.69
Transfer,5381 Park Side Cir,289053.33
Total for Other Expenses,5381 Park Side Cir,289053.33
Net Other Income,5381 Park Side Cir,-289053.33
Net Income,5381 Park Side Cir,30462.359999999986
Cleaning services,5400 J R Dr,263.34
Dumpsters,5400 J R Dr,1512
Labor,5400 J R Dr,13753
Materials,5400 J R Dr,10488.82
Property Insurance,5400 J R Dr,728.64
Property Purchase,5400 J R Dr,31903.24
Third Party Vendors,5400 J R Dr,18107.31
Utilities,5400 J R Dr,942.65
Total for Expenses,5400 J R Dr,77699
Net Operating Income,5400 J R Dr,-77699
Net Income,5400 J R Dr,-77699
Dumpsters,5409 Nottinghill Dr,815.06
Labor,5409 Nottinghill Dr,9750
Materials,5409 Nottinghill Dr,7486.18
Property Purchase,5409 Nottinghill Dr,74135.6
Third Party Vendors,5409 Nottinghill Dr,7388
Utilities,5409 Nottinghill Dr,250.86
Total for Expenses,5409 Nottinghill Dr,99825.7
Net Operating Income,5409 Nottinghill Dr,-99825.7
Net Income,5409 Nottinghill Dr,-99825.7
Property Purchase,5415 Nottinghill Dr.,85877.58
Third Party Vendors,5415 Nottinghill Dr.,60
Total for Expenses,5415 Nottinghill Dr.,85937.58
Net Operating Income,5415 Nottinghill Dr.,-85937.58
Net Income,5415 Nottinghill Dr.,-85937.58
Third Party Vendors,5425 Jr Dr,720
Total for Expenses,5425 Jr Dr,720
Net Operating Income,5425 Jr Dr,-720
Net Income,5425 Jr Dr,-720
Sale of property,5427 Reese Ln,225441.17
Total for Income,5427 Reese Ln,225441.17
Gross Profit,5427 Reese Ln,225441.17
Dumpsters,5427 Reese Ln,2418.02
Labor,5427 Reese Ln,27800
Materials,5427 Reese Ln,26157.57
Permits,5427 Reese Ln,1932
Property Purchase,5427 Reese Ln,75302.28
Third Party Vendors,5427 Reese Ln,22902.49
Utilities,5427 Reese Ln,1754.83
Total for Expenses,5427 Reese Ln,158267.18999999997
Net Operating Income,5427 Reese Ln,67173.98000000004
Net Income,5427 Reese Ln,67173.98000000004
Dumpsters,5445 Nottinghill Dr,2418.02
Labor,5445 Nottinghill Dr,13000
Materials,5445 Nottinghill Dr,11387.33
Office Supplies,5445 Nottinghill Dr,21.55
Property Purchase,5445 Nottinghill Dr,81047.6
Third Party Vendors,5445 Nottinghill Dr,4349.8
Utilities,5445 Nottinghill Dr,2737.89
Total for Expenses,5445 Nottinghill Dr,114962.19
Net Operating Income,5445 Nottinghill Dr,-114962.19
Net Income,5445 Nottinghill Dr,-114962.19
Dumpsters,5447 Nottinghill Dr,300
Labor,5447 Nottinghill Dr,13766
Materials,5447 Nottinghill Dr,12351.14
Property Insurance,5447 Nottinghill Dr,995.99
Property Purchase,5447 Nottinghill Dr,70719.32
Third Party Vendors,5447 Nottinghill Dr,16784.03
Utilities,5447 Nottinghill Dr,377.04
Total for Expenses,5447 Nottinghill Dr,115293.52
Net Operating Income,5447 Nottinghill Dr,-115293.52
Net Income,5447 Nottinghill Dr,-115293.52
Sale of property,5536 Cheryl Dr.,179183.64
Total for Income,5536 Cheryl Dr.,179183.64
Gross Profit,5536 Cheryl Dr.,179183.64
Admin Services,5536 Cheryl Dr.,300
Dumpsters,5536 Cheryl Dr.,1929.99
Labor,5536 Cheryl Dr.,15050
Materials,5536 Cheryl Dr.,9214.02
Property Purchase,5536 Cheryl Dr.,120396.84
Third Party Vendors,5536 Cheryl Dr.,11185.23
Total for Expenses,5536 Cheryl Dr.,158076.08000000002
Net Operating Income,5536 Cheryl Dr.,21107.559999999998
Net Income,5536 Cheryl Dr.,21107.559999999998
Sale of property,5551 Timber Hills,225697.77
Total for Income,5551 Timber Hills,225697.77
Gross Profit,5551 Timber Hills,225697.77
Closing Costs,5551 Timber Hills,10425.97
Dumpsters,5551 Timber Hills,2409.04
Earnest money,5551 Timber Hills,2000
Interest Payment,5551 Timber Hills,24000
Labor,5551 Timber Hills,30830
Materials,5551 Timber Hills,47465.23
Staging and Interiors,5551 Timber Hills,3400
Third Party Vendors,5551 Timber Hills,36295.06
Utilities,5551 Timber Hills,1229.25
Total for Expenses,5551 Timber Hills,158054.55
Net Operating Income,5551 Timber Hills,67643.22
Net Income,5551 Timber Hills,67643.22
Sale of property,5557 Dewey Heights Rd,93708.94
Total for Income,5557 Dewey Heights Rd,93708.94
Gross Profit,5557 Dewey Heights Rd,93708.94
Dumpsters,5557 Dewey Heights Rd,2371.96
Interest Payment,5557 Dewey Heights Rd,3000
Labor,5557 Dewey Heights Rd,31150
Materials,5557 Dewey Heights Rd,22690.64
Third Party Vendors,5557 Dewey Heights Rd,29228.28
Total for Expenses,5557 Dewey Heights Rd,88440.88
Net Operating Income,5557 Dewey Heights Rd,5268.059999999998
Net Income,5557 Dewey Heights Rd,5268.059999999998
Sale of property,5557 Dry Creek Rd,239107.47
Total for Income,5557 Dry Creek Rd,239107.47
Gross Profit,5557 Dry Creek Rd,239107.47
Cleaning services,5557 Dry Creek Rd,320
Dumpsters,5557 Dry Creek Rd,6221.64
Interest Payment,5557 Dry Creek Rd,34232.26
Labor,5557 Dry Creek Rd,48815
Materials,5557 Dry Creek Rd,52475.6
Property taxes,5557 Dry Creek Rd,1373.89
Staging and Interiors,5557 Dry Creek Rd,1986.21
Third Party Vendors,5557 Dry Creek Rd,41745.19
Utilities,5557 Dry Creek Rd,2157.21
Total for Expenses,5557 Dry Creek Rd,189327
Net Operating Income,5557 Dry Creek Rd,49780.47
Net Income,5557 Dry Creek Rd,49780.47
Cleaning services,5609 Ridgeview Dr,275
Dumpsters,5609 Ridgeview Dr,11086.97
Interest Payment,5609 Ridgeview Dr,25875.55
Labor,5609 Ridgeview Dr,138393.04
Materials,5609 Ridgeview Dr,163951.61
Movers,5609 Ridgeview Dr,2000
Property Purchase,5609 Ridgeview Dr,84144.97
Staging and Interiors,5609 Ridgeview Dr,4400
Third Party Vendors,5609 Ridgeview Dr,92633.57
Utilities,5609 Ridgeview Dr,4795.53
Total for Expenses,5609 Ridgeview Dr,527556.24
Net Operating Income,5609 Ridgeview Dr,-527556.24
Net Income,5609 Ridgeview Dr,-527556.24
Sale of property,5719 Park Side Rd,88418.06
Total for Income,5719 Park Side Rd,88418.06
Gross Profit,5719 Park Side Rd,88418.06
Closing Costs,5719 Park Side Rd,703.32
Dumpsters,5719 Park Side Rd,1072.02
Earnest money,5719 Park Side Rd,5000
Labor,5719 Park Side Rd,18950
Materials,5719 Park Side Rd,10391.81
Third Party Vendors,5719 Park Side Rd,8807.45
Utilities,5719 Park Side Rd,761.2
Total for Expenses,5719 Park Side Rd,45685.8
Net Operating Income,5719 Park Side Rd,42732.259999999995
Net Income,5719 Park Side Rd,42732.259999999995
Sale of property,5720 33rd St. N,160708.41
Total for Income,5720 33rd St. N,160708.41
Gross Profit,5720 33rd St. N,160708.41
Cleaning services,5720 33rd St. N,150
Dumpsters,5720 33rd St. N,1465.82
Labor,5720 33rd St. N,27100
Materials,5720 33rd St. N,16417.33
Permits,5720 33rd St. N,1690
Property Purchase,5720 33rd St. N,72269.08
Third Party Vendors,5720 33rd St. N,29889.65
Utilities,5720 33rd St. N,1147.17
Total for Expenses,5720 33rd St. N,150129.05000000002
Net Operating Income,5720 33rd St. N,10579.359999999986
Mortgage,5720 33rd St. N,100000
Total for Other Income,5720 33rd St. N,100000
Net Other Income,5720 33rd St. N,100000
Net Income,5720 33rd St. N,110579.35999999999
Sale of property,5731 Hickory Ct.,138250.96
Total for Income,5731 Hickory Ct.,138250.96
Gross Profit,5731 Hickory Ct.,138250.96
Closing Costs,5731 Hickory Ct.,712.31
Dumpsters,5731 Hickory Ct.,906.14
Labor,5731 Hickory Ct.,24750
Materials,5731 Hickory Ct.,15638.97
Third Party Vendors,5731 Hickory Ct.,16901.2
Total for Expenses,5731 Hickory Ct.,58908.619999999995
Net Operating Income,5731 Hickory Ct.,79342.34
Mortgage,5731 Hickory Ct.,-1000
Total for Other Income,5731 Hickory Ct.,-1000
Net Other Income,5731 Hickory Ct.,-1000
Net Income,5731 Hickory Ct.,78342.34
Sale of property,5741 Oakhill Dr,124110.09
Total for Income,5741 Oakhill Dr,124110.09
Gross Profit,5741 Oakhill Dr,124110.09
Dumpsters,5741 Oakhill Dr,1918.89
Interest Payment,5741 Oakhill Dr,2444.03
Labor,5741 Oakhill Dr,21279
Materials,5741 Oakhill Dr,18473.08
Property Purchase,5741 Oakhill Dr,22443.12
Third Party Vendors,5741 Oakhill Dr,16470.06
Utilities,5741 Oakhill Dr,1316.63
Total for Expenses,5741 Oakhill Dr,84344.81
Net Operating Income,5741 Oakhill Dr,39765.28
Net Income,5741 Oakhill Dr,39765.28
Sale of property,5751 Henry Black Dr.,88492.58
Total for Income,5751 Henry Black Dr.,88492.58
Gross Profit,5751 Henry Black Dr.,88492.58
Dumpsters,5751 Henry Black Dr.,1842.93
Labor,5751 Henry Black Dr.,24910
Materials,5751 Henry Black Dr.,23481.84
Third Party Vendors,5751 Henry Black Dr.,13147
Utilities,5751 Henry Black Dr.,175
Total for Expenses,5751 Henry Black Dr.,63556.770000000004
Net Operating Income,5751 Henry Black Dr.,24935.809999999998
Net Income,5751 Henry Black Dr.,24935.809999999998
Sale of property,5755 Cheryl Dr,196401.35
Total for Income,5755 Cheryl Dr,196401.35
Gross Profit,5755 Cheryl Dr,196401.35
Admin Services,5755 Cheryl Dr,300
Cleaning services,5755 Cheryl Dr,150
Dumpsters,5755 Cheryl Dr,6670.22
Equipment,5755 Cheryl Dr,423.49
Labor,5755 Cheryl Dr,49843.67
Materials,5755 Cheryl Dr,45416.76
Property Purchase,5755 Cheryl Dr,80129.75
Third Party Vendors,5755 Cheryl Dr,46228.8
Total for Expenses,5755 Cheryl Dr,229162.69
Net Operating Income,5755 Cheryl Dr,-32761.339999999997
Net Income,5755 Cheryl Dr,-32761.339999999997
Earnest money,578 Shades Crest Rd,3000
Interest Payment,578 Shades Crest Rd,4753.33
